Comment,Designator,Footprint,LCSC
AP2127K-3.3,U1,SOT-23-5,C156285
CERAMIC-10UF-10V-10%-X7R_0805_,"C1,C2,C3",C_0805_2012Metric,C15850
USB_C_Receptacle_USB2.0_16P,J4,TYPE-C-31-M-12,C165948
10K,"R2,rgate1,rgate2,rgate3,rgate4,rgate5,rgate6,rgate7",R_0805_2012Metric,C17414
SMD-RES-220R-5%-1_8W_0805_,"RLedON1,rled1,rled2,rled3,rled4,rled5,rled6,rled7",R_0805_2012Metric,C17557
SMD-MOSFET-N-CH,"q1,q2,q3,q4,q5,q6,q7",SOT-23,C20917
SMD-LED-CLEAR-0805,"led1,led2,led3,led4,led5,led6,led7",LED_0805_2012Metric,C2296
SMD-LED-CLEAR-RED_0805_,LedON1,LED_0805_2012Metric,C2297
SMD-DIODE-SCHOTTKY-20V-1A_SOD-123_,"dq1,dq2,dq3,dq4,dq5,dq6,dq7",D_SOD-123,C8598
Logo_Open_Hardware_Small,L1,OSHW-Logo_5.7x6mm_SilkScreen,
